full_name,f_name,affiliation,paper_title,paper_url,year
David G. Rand,david,,Adaptive Polling for Information Aggregation,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4747,2012
Giuseppe Pirró,giuseppe,,REWOrD: Semantic Relatedness in the Web of Data,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4923,2012
Adam Sadilek,adam,,Predicting Disease Transmission from Geo-Tagged Micro-Blog Data,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4844,2012
Henry Kautz,henry,,Predicting Disease Transmission from Geo-Tagged Micro-Blog Data,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4844,2012
Vincent Silenzio,vincent,,Predicting Disease Transmission from Geo-Tagged Micro-Blog Data,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4844,2012
Song Hengjie,song,,A Mouse-Trajectory Based Model for Predicting Query-URL Relevance,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4968,2012
Ruoxue Liao,ruoxue,,A Mouse-Trajectory Based Model for Predicting Query-URL Relevance,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4968,2012
Xiangliang Zhang,xiangliang,,A Mouse-Trajectory Based Model for Predicting Query-URL Relevance,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4968,2012
Chunyan Miao,chunyan,,A Mouse-Trajectory Based Model for Predicting Query-URL Relevance,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4968,2012
Qiang Yang,qiang,,A Mouse-Trajectory Based Model for Predicting Query-URL Relevance,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4968,2012
Uthayasanker Thayasivam,uthayasanker,,Improved Convergence of Iterative Ontology Alignment using Block-Coordinate Descent,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4914,2012
Prashant Doshi,prashant,,Improved Convergence of Iterative Ontology Alignment using Block-Coordinate Descent,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4914,2012
Congle Zhang,congle,,Ontological Smoothing for Relation Extraction with Minimal Supervision,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4837,2012
Raphael Hoffmann,raphael,,Ontological Smoothing for Relation Extraction with Minimal Supervision,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4837,2012
Daniel Sabey Weld,daniel,,Ontological Smoothing for Relation Extraction with Minimal Supervision,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4837,2012
Tom Chao Zhou,tom,,A Data-Driven Approach to Question Subjectivity Identification in Community Question Answering,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4976,2012
Xiance Si,xiance,,A Data-Driven Approach to Question Subjectivity Identification in Community Question Answering,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4976,2012
Edward Y. Chang,edward,,A Data-Driven Approach to Question Subjectivity Identification in Community Question Answering,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4976,2012
Irwin King,irwin,,A Data-Driven Approach to Question Subjectivity Identification in Community Question Answering,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4976,2012
Michael R. Lyu,michael,,A Data-Driven Approach to Question Subjectivity Identification in Community Question Answering,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4976,2012
Yin Zhu,yin,,Discovering Spammers in Social Networks,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5073,2012
Xiao Wang,xiao,,Discovering Spammers in Social Networks,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5073,2012
Erheng Zhong,erheng,,Discovering Spammers in Social Networks,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5073,2012
Nathan N. Liu,nathan,,Discovering Spammers in Social Networks,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5073,2012
He Li,he,,Discovering Spammers in Social Networks,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5073,2012
Qiang Yang,qiang,,Discovering Spammers in Social Networks,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5073,2012
Guobing Zou,guobing,,Towards Automated Choreographing of Web Services Using Planning,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4821,2012
Yixin Chen,yixin,,Towards Automated Choreographing of Web Services Using Planning,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4821,2012
